rank,subset,overall_diversity,behavior_diversity,context_visual_diversity,embodiment_diversity,behavior_richness,behavior_coverage,behavior_evenness,reference_behavior_clusters,embodiment_richness,embodiment_coverage,embodiment_evenness,visual_raw_distance,context_relative_spread,reference_visual_distance,visual_n,visual_failures
1,Dataset A — Mecka,0.37840053224137554,0.17079509997506986,0.9644064967490568,0.0,1296,0.2156405990016639,0.7920359188658718,10772,1,0.16666666666666666,0.0,0.6243594884872437,0.9644064967490568,0.647402822971344,100,0
2,Dataset B — Scale,0.34603683830371884,0.004576369700543321,0.8485564350133133,0.18497771019729983,59,0.006143913360408206,0.744862342954534,10772,3,0.5,0.36995542039459967,0.5493578314781189,0.8485564350133133,0.647402822971344,100,0
